feature_id	tweet_id_str	tweet_text	tweet_created_at	tweet_user_location	tweet_user_timezone	tweet_coordinates_latitude	tweet_coordinates_longitude	tweet_placeid	char_position	text	geoNameId	toponym	country_code	longitude	latitude	surrogate_geojson	uncertain_semantics	vague	overlapping_ambiguous	non_overlapping_ambiguous	not_in_geonames
1	557916969433718785	Bird Flu: Rivers Government confirms outbreak of the disease http://t.co/1FzbgVu7Wt #Nigeria #pulsenigeria	Wed Jan 21 15:05:45 +0000 2015	Nigeria					10	Rivers	2324433	Rivers State	NG	6.82766	4.74974		true				
2	557916969433718785	Bird Flu: Rivers Government confirms outbreak of the disease http://t.co/1FzbgVu7Wt #Nigeria #pulsenigeria	Wed Jan 21 15:05:45 +0000 2015	Nigeria					85	Nigeria	2328926	Federal Republic of Nigeria	NG	8	10						
3	557916969433718785	Bird Flu: Rivers Government confirms outbreak of the disease http://t.co/1FzbgVu7Wt #Nigeria #pulsenigeria	Wed Jan 21 15:05:45 +0000 2015	Nigeria					99	Nigeria	2328926	Federal Republic of Nigeria	NG	8	10						
4	559125629711708161	RT @JohnFugelsang: Lando Calrissian got a better story arc &amp; dialogue in 1 ep of Star Wars Rebels than he got in all of Return of the Jedi.	Sat Jan 24 23:08:32 +0000 2015																		
5	493108823859924992	Tosi oudot albumit -artikkelisarja alkaa! Ensimmäinen osa: Sly and the Family Stone – There's a Riot Goin' On. https://t.co/WSkyCBazO9	Sat Jul 26 19:01:19 +0000 2014		Helsinki																
6	499647300168593409	RT @RosePastore: An algorithm detected the Ebola outbreak nine days before the world knew about it http://t.co/b0gIa1Fr56	Wed Aug 13 20:02:54 +0000 2014	Montreal, QC																	
7	517722122357964800	Sign the petition: Mark Fuller, Alabama judge who committed domestic violence, off the federal bench via @CREDOMobile http://t.co/E5BethJ2A0	Thu Oct 02 17:05:47 +0000 2014						32	Alabama	4829764	Alabama	US	-86.75026	32.75041						
8	557041966564007936	Man down. Looks like I fell victim to the malaria bug. Just glad I caught it early.	Mon Jan 19 05:08:48 +0000 2015		Cairo	-13.968064	33.753599	a0583a9994e6bf1b													
9	547316635522977792	"RT @CODERED_5: ?Resident Live?
?? from the nutz twitter page
?@sh1059?
#codered_079 #himeji #pokerface #tornado #release http://t.co/oWzsHd…"	Tue Dec 23 09:03:49 +0000 2014																		
10	510428276301377536	Via @nprnews: Get The Measles, Get Ready To Be Out For Two Weeks http://t.co/tIU9Wk4Y2c #vaccinesnova thank you, @pedsgeekmd	Fri Sep 12 14:02:39 +0000 2014	Bay Area, CA	Pacific Time (US & Canada)																
11	489545428804055041	RT @AJEnglish: As violence escalates in #Libya fears are growing that the new parliament lacks serious forces to confront militias | http:/…	Wed Jul 16 23:01:40 +0000 2014	Lagos					41	Libya	2215636	Libya	LY	17	28						
12	557539271989813248	Opening the Genealogy Flood-“Gates” http://t.co/oQFjSGG3dP RT @Buffalo_News_	Tue Jan 20 14:04:55 +0000 2015		Mountain Time (US & Canada)																
13	560559519265456128	RT @BehzadMoezi: #Iran,Tehran:the protest gathering of teachers in front of General Office building of Education @Reuters @AP @UPI http://t…	Wed Jan 28 22:06:18 +0000 2015						18	Iran	130758	Islamic Republic of Iran	IR	53	32						
14	560559519265456128	RT @BehzadMoezi: #Iran,Tehran:the protest gathering of teachers in front of General Office building of Education @Reuters @AP @UPI http://t…	Wed Jan 28 22:06:18 +0000 2015						23	Tehran	112931	Tehr?n	IR	51.42151	35.69439						
15	528668165426147328	“@tashcole08: @laurenbaggett94 @28Lacey34 trrrruuuuueeeeee ? we are like the flu that won't go away ?” it's what I need &amp; I love you for it	Sat Nov 01 22:01:27 +0000 2014	Wherever HE sends me.?	Quito																
16	558793549169569792	Deepest apologies to anyone I've come in contact with recently, I have the flu... #LoveYall	Sat Jan 24 01:08:58 +0000 2015		Central Time (US & Canada)																
17	522946786504495104	RT @BreitbartNews: The Nuclear Option: To Fight Ebola, First Wipe Out Malaria with DDT: It is good to see President Obama and his... http:/…	Fri Oct 17 03:06:44 +0000 2014	Lake Tahoe, California	Pacific Time (US & Canada)																
18	547211909863198720	RT @iamhollyrob: War On Abuse and Domestic Violence Present:The Royal Concert Tour F/ King of Hip Hop Soul Holly Rob 4info click here http:…	Tue Dec 23 02:07:40 +0000 2014	Serang	Jakarta																
19	499073560959549440	RT @TheAnonMessage: RAW VIDEO: Intense scenes from today's protests and the subsequent violence by police #Ferguson http://t.co/2xi7choHJY	Tue Aug 12 06:03:03 +0000 2014	Richmond,VA, USA					107	Ferguson	4386387	Ferguson	US	-90.30539	38.74422						
20	487674190066380800	The water pressure here is like getting hit with a damn fire hose	Fri Jul 11 19:06:02 +0000 2014	The Classic City	Eastern Time (US & Canada)																
21	515320875907055616	You're plans are still prosper you've not forgotten us you're with us through the fire and the flood.	Fri Sep 26 02:04:05 +0000 2014																		
22	540507250058854400	Awful how police felt the need to taser people at the peaceful protest last night	Thu Dec 04 14:05:45 +0000 2014	Manchester																	
23	560863552152424448	RT @business: Health officials in Arizona are racing to contain the measles outbreak days before Super Bowl http://t.co/8ahKx1X295 http://t…	Thu Jan 29 18:14:25 +0000 2015	India					34	Arizona	5551752	Arizona	US	-111.50098	34.5003						
24	560639500792373248	RT @WHO: .@WHOAFRO's Dr Moeti: Significant declines have been seen in the incidence of HIV, TB and Malaria [in the African Region] #EB136	Thu Jan 29 03:24:07 +0000 2015	Nigeria	Amsterdam				115	African Region	6255146	Africa		21.09375	7.1881						true
25	534814316382670849	Rebels Article in The American Journal!!http://t.co/deUbBotRXS	Tue Nov 18 21:04:04 +0000 2014	Portland, Maine	Eastern Time (US & Canada)																
26	516469816614342657	"RT @RapRehab: @Iam360WISE Pure Fire http://t.co/LwOCQhTgKz Can you do The Water Dance
#TheWaterDance  @cpomusic @thejohnsalley *** http://t…"	Mon Sep 29 06:09:34 +0000 2014		Mountain Time (US & Canada)																
27	515414104916652034	RT @fireabingdon: Busy morning out in #Abingdon today. Fire safety talk to the lovely women of the #WI @ Northcourt road comm. centre. http…	Fri Sep 26 08:14:33 +0000 2014						39	Abingdon	2657780	Abingdon	GB	-1.28278	51.67109						
28	515414104916652034	RT @fireabingdon: Busy morning out in #Abingdon today. Fire safety talk to the lovely women of the #WI @ Northcourt road comm. centre. http…	Fri Sep 26 08:14:33 +0000 2014						105	Northcourt road comm. centre	2657780	Abingdon	GB	-1.28278	51.67109						true
29	511577184499429376	RT @darren_hassan: No matter what the outcome of the referendum theres gonna be a pure mad riot	Mon Sep 15 18:08:00 +0000 2014		Edinburgh																
30	519412219554316288	I hope the FA are considering not entering England for the 2022 World Cup in protest of FIFA's corruption and aversion to transparency	Tue Oct 07 09:01:38 +0000 2014						43	England	6269131	England	GB	-0.70312	52.16045						
31	522795282128314368	@lilstarbug @nvanmeter LOL Yes, that. Also fans are growing restless. The zankie info flood gate has already started to open.	Thu Oct 16 17:04:42 +0000 2014	" It's windy here in OZ"	Central Time (US & Canada)																
32	557856448412393473	"RT @davidbritain7: 'Anti-fascist' mob rampages in Leipzig - Germany's news in English -Yet again it's the left wing who riot not us
http://…"	Wed Jan 21 11:05:16 +0000 2015	north west					50	Leipzig	3305800	Direktionsbezirk Leipzig	DE	12.75	51.25						
33	557856448412393473	"RT @davidbritain7: 'Anti-fascist' mob rampages in Leipzig - Germany's news in English -Yet again it's the left wing who riot not us
http://…"	Wed Jan 21 11:05:16 +0000 2015	north west					60	Germany	2921044	Federal Republic of Germany	DE	10.5	51.5						
34	542092142005731329	RT @PennyTheGOAT: When you pull up to the riot bumpin Migos http://t.co/iSuxMYtFYH	Mon Dec 08 23:03:32 +0000 2014		Eastern Time (US & Canada)																
35	487688329643565056	RT @specterm: Will smbdy have to die before ppl get the message?  RT @APHL Measles outbreaks hit 18-year high in Washington state http://t.…	Fri Jul 11 20:02:13 +0000 2014		Central Time (US & Canada)				113	Washington	5815135	Washington	US	-120.50147	47.50012						
36	500371752074371075	Have to start having Malaria tablets today for the trip ?	Fri Aug 15 20:01:36 +0000 2014	notts																	
37	532367850443259904	RT @PeterHotez: This flu season 3, 000-49,000 Americans will die over the next 5 months, most preventable through vaccination. We need a US…	Wed Nov 12 03:02:41 +0000 2014	"Beverly Hills "					137	US	6252001	United States	US	-98.5	39.76						
38	549746959762747392	RT @suicidalfigures: I look so calm on the outside but there's a freaking tsunami and tornado happening inside of me all at once	Tue Dec 30 02:01:03 +0000 2014		Alaska																
39	541972942226071553	Need prayers! Have to kick this flu in the ass ?	Mon Dec 08 15:09:53 +0000 2014	"Fox Theatre "	Arizona																
40	560558919261892609	Quake hits off California - A magnitude 5.7 earthquake struck off the coast of Northern California on Wednesday, a... http://t.co/RkcDyH1RCh	Wed Jan 28 22:03:55 +0000 2015	NYC / NJ / Philly	Eastern Time (US & Canada)				15	California	5332921	California	US	-119.75126	37.25022						
41	560558919261892609	Quake hits off California - A magnitude 5.7 earthquake struck off the coast of Northern California on Wednesday, a... http://t.co/RkcDyH1RCh	Wed Jan 28 22:03:55 +0000 2015	NYC / NJ / Philly	Eastern Time (US & Canada)				79	Northern California	5377887	Northern California Preparatory School	US	-121.43412	38.51518			true			
42	543407220738625536	"@3k_ The whole ""I drive a Dodge Stratus!!"" exclamation that Arians had after the non-sack last night brought back a flood of memories."	Fri Dec 12 14:09:12 +0000 2014	ATL	Central Time (US & Canada)																
43	487130413409009664	Some of the children crossing into the U.S. illegally brought gifts with them like scabies, measles, chicken pox, http://t.co/N5Ofa7DPWE	Thu Jul 10 07:05:15 +0000 2014	Near Lubbock Texas	Central Time (US & Canada)				39	U.S.	6252001	United States	US	-98.5	39.76						
44	519428167551836160	RT @ScorpiusMaximus: Nobel in Medicine, has gone to some of the biggest breakthroughs, the discoveries of cause of Malaria, TB, discovery o…	Tue Oct 07 10:05:00 +0000 2014	bangalore	Mumbai																
45	489078184369864704	"#WartaOL Tottenham’s Adebayor on the mend from malaria http://t.co/n2qsJBvi54"	Tue Jul 15 16:05:00 +0000 2014	Di Hati Pecinta Berita	Bangkok																
46	487764391849631744	Have you read George R. R. Martin's books? — Just the Song of Ice and Fire books. They're a lot of fun, though t... http://t.co/YLgHZl6CF8	Sat Jul 12 01:04:27 +0000 2014																		
47	503060458241536000	Rooftop of the promenade #rebels	Sat Aug 23 06:05:34 +0000 2014		Central Time (US & Canada)																
48	488806629350313984	@samyaaa__ the way some people judge you for not attending a protest or changing your whatsapp DP, charity/aid is far more beneficial ?	Mon Jul 14 22:05:56 +0000 2014		London																
49	496129233924947969	I think I caught the malaria?	Mon Aug 04 03:03:21 +0000 2014		Quito																
50	496371470722150400	BACK TO THE FUTURE ARTIST SHOWCASE | AUG. 24th @ FIRE &amp; ICE! 312 MARKET ST. 5pm - 10pm! Tickets $10 &amp; $15 at the door! ? BE HERE!!	Mon Aug 04 19:05:55 +0000 2014	PHILLY	Quito				61	312 MARKET ST	4562050	Washington Square	US	-75.15268	39.94706						true
51	489123304234823680	Flood of net neutrality protests sends the FFC’s site crashing http://t.co/Flfnd1k5cB	Tue Jul 15 19:04:17 +0000 2014	Melbourne, Australia	Melbourne																
52	534981142114738177	"What?! Really? Was it her 'malaria'? ""@pollyanna35: @MarianKeyes Good morning .Gemma left the jungle!!!"""	Wed Nov 19 08:06:58 +0000 2014	DunLaoghaireLand	Amsterdam																
53	521647108659494913	“@RealDLHughley: A lot a of people don't trust the vaccine that is supposed to prevent Measles! But now want one to cure Ebola? #TeamDl” LOL	Mon Oct 13 13:02:17 +0000 2014	Classically beautiful	Central Time (US & Canada)																
54	558836950426480640	Afcon: How Gyan gave Ghana victory - Just days after being taken to hospital with malaria, Asamoah Gyan lit up the... http://t.co/CO6oS3jQP6	Sat Jan 24 04:01:26 +0000 2015	lagos	West Central Africa				21	Ghana	2300660	Republic of Ghana	GH	-1.2	8.1						
55	494966363812007936	Remember the flesh eating disease, mad cow disease, bird flu, etc now it's Ebola that the media is using as a distraction #falseflag	Thu Jul 31 22:02:31 +0000 2014	Here, there and everywhere....																	
56	514505905996853249	Truth.  Build a healthy immune system with nutritious food and food supplements and tell the flu to skip you! http://t.co/SSJ4PmghcH	Tue Sep 23 20:05:41 +0000 2014	Michigan	Eastern Time (US & Canada)																
57	542801260726857728	RT @cateb_: My room goes from immaculate to a tornado flew around excuse the mess it made in .02 seconds when I'm looking for something to …	Wed Dec 10 22:01:19 +0000 2014		Brussels																
58	496627073621196800	"#DBN &amp; #jHB #EARTHQUAKE The president gives us the details ..#zuma http://t.co/14C0ZcLR8l"	Tue Aug 05 12:01:35 +0000 2014	South Africa	Athens																
59	560573163097321473	RT @Nffcfamily: They say the Earthquake  hit derby and Improved it no end.	Wed Jan 28 23:00:31 +0000 2015	UK					45	derby	2651347	Derby	GB	-1.47663	52.92277						
